dataset,method,seed,beta,role,cache_key,original_trace_key,original_seconds,original_source,canonical_seconds,canonical_source,final_metric_dicts_identical,checkpoint_identity,requested_epochs,early_stopping
MNIST,B3_full_downstream,31337,1.0,final,vae|MNIST|m48|s31337|e300|es1|b1,vae|m48|e300|es1,60.88978981971741,"stage4_methods.json: (MNIST,B3_full_downstream,31337,1).trace[10]",55.79539775848389,results/make49/stage4_cache/MNIST.json:vae|MNIST|m48|s31337|e300|es1|b1,True,not available,300,True
MNIST,B4_coarse,42,1.0,anchor,vae|MNIST|m64|s42|e300|es1|b1,vae|m64|e300|es1,68.16339802742004,"stage4_methods.json: (MNIST,B4_coarse,42,1).trace[3]",66.05860233306885,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s42|e300|es1|b1,,not available,300,True
MNIST,B4_coarse,42,1.0,final,vae|MNIST|m10|s42|e300|es1|b1,vae|m10|e300|es1,58.37271595001221,"stage4_methods.json: (MNIST,B4_coarse,42,1).trace[2]",57.076122522354126,results/make49/stage4_cache/MNIST.json:vae|MNIST|m10|s42|e300|es1|b1,True,not available,300,True
MNIST,B4_coarse,123,1.0,anchor,vae|MNIST|m64|s123|e300|es1|b1,vae|m64|e300|es1,50.964011669158936,"stage4_methods.json: (MNIST,B4_coarse,123,1).trace[3]",45.33538007736206,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s123|e300|es1|b1,,not available,300,True
MNIST,B4_coarse,123,1.0,final,vae|MNIST|m10|s123|e300|es1|b1,vae|m10|e300|es1,45.887362241744995,"stage4_methods.json: (MNIST,B4_coarse,123,1).trace[2]",40.4986572265625,results/make49/stage4_cache/MNIST.json:vae|MNIST|m10|s123|e300|es1|b1,True,not available,300,True
MNIST,B4_coarse,777,1.0,anchor,vae|MNIST|m64|s777|e300|es1|b1,vae|m64|e300|es1,74.62458491325378,"stage4_methods.json: (MNIST,B4_coarse,777,1).trace[3]",66.14485359191895,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s777|e300|es1|b1,,not available,300,True
MNIST,B4_coarse,777,1.0,final,vae|MNIST|m10|s777|e300|es1|b1,vae|m10|e300|es1,36.526057958602905,"stage4_methods.json: (MNIST,B4_coarse,777,1).trace[2]",34.143558740615845,results/make49/stage4_cache/MNIST.json:vae|MNIST|m10|s777|e300|es1|b1,True,not available,300,True
MNIST,B4_coarse,2024,1.0,anchor,vae|MNIST|m64|s2024|e300|es1|b1,vae|m64|e300|es1,71.89669346809387,"stage4_methods.json: (MNIST,B4_coarse,2024,1).trace[3]",62.86958146095276,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s2024|e300|es1|b1,,not available,300,True
MNIST,B4_coarse,2024,1.0,final,vae|MNIST|m10|s2024|e300|es1|b1,vae|m10|e300|es1,51.95336580276489,"stage4_methods.json: (MNIST,B4_coarse,2024,1).trace[2]",45.62505125999451,results/make49/stage4_cache/MNIST.json:vae|MNIST|m10|s2024|e300|es1|b1,True,not available,300,True
MNIST,B4_coarse,31337,1.0,anchor,vae|MNIST|m64|s31337|e300|es1|b1,vae|m64|e300|es1,80.74756026268005,"stage4_methods.json: (MNIST,B4_coarse,31337,1).trace[3]",72.526198387146,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s31337|e300|es1|b1,,not available,300,True
MNIST,B4_coarse,31337,1.0,final,vae|MNIST|m10|s31337|e300|es1|b1,vae|m10|e300|es1,47.49093961715698,"stage4_methods.json: (MNIST,B4_coarse,31337,1).trace[2]",42.29352569580078,results/make49/stage4_cache/MNIST.json:vae|MNIST|m10|s31337|e300|es1|b1,True,not available,300,True
MNIST,B5_fixed32,42,1.0,anchor,vae|MNIST|m64|s42|e300|es1|b1,not in trace,,not charged in original ledger; MAKE50 used current snapshot,66.05860233306885,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s42|e300|es1|b1,,not available,300,True
MNIST,B5_fixed32,42,1.0,final,vae|MNIST|m32|s42|e300|es1|b1,vae|m32|e300|es1,68.3561692237854,"stage4_methods.json: (MNIST,B5_fixed32,42,1).trace[0]",66.70013570785522,results/make49/stage4_cache/MNIST.json:vae|MNIST|m32|s42|e300|es1|b1,True,not available,300,True
MNIST,B5_fixed32,123,1.0,anchor,vae|MNIST|m64|s123|e300|es1|b1,not in trace,,not charged in original ledger; MAKE50 used current snapshot,45.33538007736206,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s123|e300|es1|b1,,not available,300,True
MNIST,B5_fixed32,123,1.0,final,vae|MNIST|m32|s123|e300|es1|b1,vae|m32|e300|es1,53.129618883132935,"stage4_methods.json: (MNIST,B5_fixed32,123,1).trace[0]",46.21408271789551,results/make49/stage4_cache/MNIST.json:vae|MNIST|m32|s123|e300|es1|b1,True,not available,300,True
MNIST,B5_fixed32,777,1.0,anchor,vae|MNIST|m64|s777|e300|es1|b1,not in trace,,not charged in original ledger; MAKE50 used current snapshot,66.14485359191895,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s777|e300|es1|b1,,not available,300,True
MNIST,B5_fixed32,777,1.0,final,vae|MNIST|m32|s777|e300|es1|b1,vae|m32|e300|es1,52.999956369400024,"stage4_methods.json: (MNIST,B5_fixed32,777,1).trace[0]",47.35809826850891,results/make49/stage4_cache/MNIST.json:vae|MNIST|m32|s777|e300|es1|b1,True,not available,300,True
MNIST,B5_fixed32,2024,1.0,anchor,vae|MNIST|m64|s2024|e300|es1|b1,not in trace,,not charged in original ledger; MAKE50 used current snapshot,62.86958146095276,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s2024|e300|es1|b1,,not available,300,True
MNIST,B5_fixed32,2024,1.0,final,vae|MNIST|m32|s2024|e300|es1|b1,vae|m32|e300|es1,46.923726320266724,"stage4_methods.json: (MNIST,B5_fixed32,2024,1).trace[0]",42.06105947494507,results/make49/stage4_cache/MNIST.json:vae|MNIST|m32|s2024|e300|es1|b1,True,not available,300,True
MNIST,B5_fixed32,31337,1.0,anchor,vae|MNIST|m64|s31337|e300|es1|b1,not in trace,,not charged in original ledger; MAKE50 used current snapshot,72.526198387146,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s31337|e300|es1|b1,,not available,300,True
MNIST,B5_fixed32,31337,1.0,final,vae|MNIST|m32|s31337|e300|es1|b1,vae|m32|e300|es1,56.77252721786499,"stage4_methods.json: (MNIST,B5_fixed32,31337,1).trace[0]",52.161421060562134,results/make49/stage4_cache/MNIST.json:vae|MNIST|m32|s31337|e300|es1|b1,True,not available,300,True
MNIST,B6a_fondue,42,1.0,anchor,vae|MNIST|m64|s42|e300|es1|b1,not in trace,,not charged in original ledger; MAKE50 used current snapshot,66.05860233306885,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s42|e300|es1|b1,,not available,300,True
MNIST,B6a_fondue,42,1.0,final,vae|MNIST|m7|s42|e300|es1|b1,vae|m7|e300|es1,37.534544229507446,"stage4_methods.json: (MNIST,B6a_fondue,42,1).trace[4]",,results/make49/stage4_cache/MNIST.json:vae|MNIST|m7|s42|e300|es1|b1,,not available,300,True
MNIST,B6a_fondue,123,1.0,anchor,vae|MNIST|m64|s123|e300|es1|b1,not in trace,,not charged in original ledger; MAKE50 used current snapshot,45.33538007736206,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s123|e300|es1|b1,,not available,300,True
MNIST,B6a_fondue,123,1.0,final,vae|MNIST|m7|s123|e300|es1|b1,vae|m7|e300|es1,43.68390226364136,"stage4_methods.json: (MNIST,B6a_fondue,123,1).trace[4]",,results/make49/stage4_cache/MNIST.json:vae|MNIST|m7|s123|e300|es1|b1,,not available,300,True
MNIST,B6a_fondue,777,1.0,anchor,vae|MNIST|m64|s777|e300|es1|b1,not in trace,,not charged in original ledger; MAKE50 used current snapshot,66.14485359191895,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s777|e300|es1|b1,,not available,300,True
MNIST,B6a_fondue,777,1.0,final,vae|MNIST|m7|s777|e300|es1|b1,vae|m7|e300|es1,39.190181732177734,"stage4_methods.json: (MNIST,B6a_fondue,777,1).trace[4]",,results/make49/stage4_cache/MNIST.json:vae|MNIST|m7|s777|e300|es1|b1,,not available,300,True
MNIST,B6a_fondue,2024,1.0,anchor,vae|MNIST|m64|s2024|e300|es1|b1,not in trace,,not charged in original ledger; MAKE50 used current snapshot,62.86958146095276,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s2024|e300|es1|b1,,not available,300,True
MNIST,B6a_fondue,2024,1.0,final,vae|MNIST|m7|s2024|e300|es1|b1,vae|m7|e300|es1,41.33726119995117,"stage4_methods.json: (MNIST,B6a_fondue,2024,1).trace[4]",,results/make49/stage4_cache/MNIST.json:vae|MNIST|m7|s2024|e300|es1|b1,,not available,300,True
MNIST,B6a_fondue,31337,1.0,anchor,vae|MNIST|m64|s31337|e300|es1|b1,not in trace,,not charged in original ledger; MAKE50 used current snapshot,72.526198387146,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s31337|e300|es1|b1,,not available,300,True
MNIST,B6a_fondue,31337,1.0,final,vae|MNIST|m7|s31337|e300|es1|b1,vae|m7|e300|es1,37.9139130115509,"stage4_methods.json: (MNIST,B6a_fondue,31337,1).trace[4]",,results/make49/stage4_cache/MNIST.json:vae|MNIST|m7|s31337|e300|es1|b1,,not available,300,True
MNIST,B6b_fondue_var,42,1.0,anchor,vae|MNIST|m64|s42|e300|es1|b1,not in trace,,not charged in original ledger; MAKE50 used current snapshot,66.05860233306885,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s42|e300|es1|b1,,not available,300,True
MNIST,B6b_fondue_var,42,1.0,final,vae|MNIST|m25|s42|e300|es1|b1,vae|m25|e300|es1,76.49692463874817,"stage4_methods.json: (MNIST,B6b_fondue_var,42,1).trace[1]",,results/make49/stage4_cache/MNIST.json:vae|MNIST|m25|s42|e300|es1|b1,,not available,300,True
MNIST,B6b_fondue_var,123,1.0,anchor,vae|MNIST|m64|s123|e300|es1|b1,not in trace,,not charged in original ledger; MAKE50 used current snapshot,45.33538007736206,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s123|e300|es1|b1,,not available,300,True
MNIST,B6b_fondue_var,123,1.0,final,vae|MNIST|m6|s123|e300|es1|b1,vae|m6|e300|es1,36.370163679122925,"stage4_methods.json: (MNIST,B6b_fondue_var,123,1).trace[1]",36.609304428100586,results/make49/stage4_cache/MNIST.json:vae|MNIST|m6|s123|e300|es1|b1,True,not available,300,True
MNIST,B6b_fondue_var,777,1.0,anchor,vae|MNIST|m64|s777|e300|es1|b1,not in trace,,not charged in original ledger; MAKE50 used current snapshot,66.14485359191895,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s777|e300|es1|b1,,not available,300,True
MNIST,B6b_fondue_var,777,1.0,final,vae|MNIST|m5|s777|e300|es1|b1,vae|m5|e300|es1,56.531330823898315,"stage4_methods.json: (MNIST,B6b_fondue_var,777,1).trace[1]",,results/make49/stage4_cache/MNIST.json:vae|MNIST|m5|s777|e300|es1|b1,,not available,300,True
MNIST,B6b_fondue_var,2024,1.0,anchor,vae|MNIST|m64|s2024|e300|es1|b1,not in trace,,not charged in original ledger; MAKE50 used current snapshot,62.86958146095276,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s2024|e300|es1|b1,,not available,300,True
MNIST,B6b_fondue_var,2024,1.0,final,vae|MNIST|m6|s2024|e300|es1|b1,vae|m6|e300|es1,42.657224893569946,"stage4_methods.json: (MNIST,B6b_fondue_var,2024,1).trace[1]",38.03678321838379,results/make49/stage4_cache/MNIST.json:vae|MNIST|m6|s2024|e300|es1|b1,True,not available,300,True
MNIST,B6b_fondue_var,31337,1.0,anchor,vae|MNIST|m64|s31337|e300|es1|b1,not in trace,,not charged in original ledger; MAKE50 used current snapshot,72.526198387146,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s31337|e300|es1|b1,,not available,300,True
MNIST,B6b_fondue_var,31337,1.0,final,vae|MNIST|m7|s31337|e300|es1|b1,vae|m7|e300|es1,37.9139130115509,"stage4_methods.json: (MNIST,B6b_fondue_var,31337,1).trace[1]",,results/make49/stage4_cache/MNIST.json:vae|MNIST|m7|s31337|e300|es1|b1,,not available,300,True
MNIST,B6b_fondue_var_keepmixed_false,42,1.0,anchor,vae|MNIST|m64|s42|e300|es1|b1,not in trace,,not charged in original ledger; MAKE50 used current snapshot,66.05860233306885,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s42|e300|es1|b1,,not available,300,True
MNIST,B6b_fondue_var_keepmixed_false,123,1.0,anchor,vae|MNIST|m64|s123|e300|es1|b1,not in trace,,not charged in original ledger; MAKE50 used current snapshot,45.33538007736206,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s123|e300|es1|b1,,not available,300,True
MNIST,B6b_fondue_var_keepmixed_false,777,1.0,anchor,vae|MNIST|m64|s777|e300|es1|b1,not in trace,,not charged in original ledger; MAKE50 used current snapshot,66.14485359191895,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s777|e300|es1|b1,,not available,300,True
MNIST,B6b_fondue_var_keepmixed_false,2024,1.0,anchor,vae|MNIST|m64|s2024|e300|es1|b1,not in trace,,not charged in original ledger; MAKE50 used current snapshot,62.86958146095276,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s2024|e300|es1|b1,,not available,300,True
MNIST,B6b_fondue_var_keepmixed_false,31337,1.0,anchor,vae|MNIST|m64|s31337|e300|es1|b1,not in trace,,not charged in original ledger; MAKE50 used current snapshot,72.526198387146,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s31337|e300|es1|b1,,not available,300,True
MNIST,proposed,42,1.0,anchor,vae|MNIST|m64|s42|e300|es1|b1,vae|m64|e300|es1,68.16339802742004,"stage4_methods.json: (MNIST,proposed,42,1).trace[9]",66.05860233306885,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s42|e300|es1|b1,,not available,300,True
MNIST,proposed,42,1.0,final,vae|MNIST|m6|s42|e300|es1|b1,vae|m6|e300|es1,34.88194274902344,"stage4_methods.json: (MNIST,proposed,42,1).trace[12]",35.225024700164795,results/make49/stage4_cache/MNIST.json:vae|MNIST|m6|s42|e300|es1|b1,True,not available,300,True
MNIST,proposed,123,1.0,anchor,vae|MNIST|m64|s123|e300|es1|b1,vae|m64|e300|es1,50.964011669158936,"stage4_methods.json: (MNIST,proposed,123,1).trace[9]",45.33538007736206,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s123|e300|es1|b1,,not available,300,True
MNIST,proposed,123,1.0,final,vae|MNIST|m6|s123|e300|es1|b1,vae|m6|e300|es1,36.370163679122925,"stage4_methods.json: (MNIST,proposed,123,1).trace[12]",36.609304428100586,results/make49/stage4_cache/MNIST.json:vae|MNIST|m6|s123|e300|es1|b1,True,not available,300,True
MNIST,proposed,777,1.0,anchor,vae|MNIST|m64|s777|e300|es1|b1,vae|m64|e300|es1,74.62458491325378,"stage4_methods.json: (MNIST,proposed,777,1).trace[9]",66.14485359191895,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s777|e300|es1|b1,,not available,300,True
MNIST,proposed,777,1.0,final,vae|MNIST|m6|s777|e300|es1|b1,vae|m6|e300|es1,40.47106862068176,"stage4_methods.json: (MNIST,proposed,777,1).trace[12]",37.029944896698,results/make49/stage4_cache/MNIST.json:vae|MNIST|m6|s777|e300|es1|b1,True,not available,300,True
MNIST,proposed,2024,1.0,anchor,vae|MNIST|m64|s2024|e300|es1|b1,vae|m64|e300|es1,71.89669346809387,"stage4_methods.json: (MNIST,proposed,2024,1).trace[9]",62.86958146095276,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s2024|e300|es1|b1,,not available,300,True
MNIST,proposed,2024,1.0,final,vae|MNIST|m6|s2024|e300|es1|b1,vae|m6|e300|es1,42.657224893569946,"stage4_methods.json: (MNIST,proposed,2024,1).trace[12]",38.03678321838379,results/make49/stage4_cache/MNIST.json:vae|MNIST|m6|s2024|e300|es1|b1,True,not available,300,True
MNIST,proposed,31337,1.0,anchor,vae|MNIST|m64|s31337|e300|es1|b1,vae|m64|e300|es1,80.74756026268005,"stage4_methods.json: (MNIST,proposed,31337,1).trace[9]",72.526198387146,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s31337|e300|es1|b1,,not available,300,True
MNIST,proposed,31337,1.0,final,vae|MNIST|m6|s31337|e300|es1|b1,vae|m6|e300|es1,45.27628445625305,"stage4_methods.json: (MNIST,proposed,31337,1).trace[12]",41.02596306800842,results/make49/stage4_cache/MNIST.json:vae|MNIST|m6|s31337|e300|es1|b1,True,not available,300,True
MNIST,proposed_minus_AU,42,1.0,anchor,vae|MNIST|m64|s42|e300|es1|b1,vae|m64|e300|es1,68.16339802742004,"stage4_methods.json: (MNIST,proposed_minus_AU,42,1).trace[9]",66.05860233306885,results/make49/stage4_cache/MNIST.json:vae|MNIST|m64|s42|e300|es1|b1,,not available,300,True
MNIST,proposed_minus_AU,42,1.0,final,vae|MNIST|m6|s42|e300|es1|b1,vae|m6|e300|es1,34.88194274902344,"stage4_methods.json: (MNIST,proposed_minus_AU,42,1).trace[12]",35.225024700164795,results/make49/stage4_cache/MNIST.json:vae|MNIST|m6|s42|e300|es1|b1,True,not available,300,True
