dataset,method,seed,beta,selected_raw,final_m,anchor_m,D_anchor,T_D,val_mse,test_mse,quality_met,original_seconds,added_anchor_seconds,accounted_seconds,state,id_fallback,budget_exhausted,compact,calibration_seconds,final_constraint_ma
MNIST,B3_full_downstream,42,1.0,64,64,64,0.023851687684351083,0.02623685645278619,0.023851687684351083,0.02330713928637861,True,669.8520848751068,0.0,669.8520848751068,SUCCESS,False,False,False,0.0,
MNIST,B3_full_downstream,123,1.0,64,64,64,0.02427723039899554,0.02670495343889509,0.02427723039899554,0.023587228372794432,True,717.2208054065704,0.0,717.2208054065704,SUCCESS,False,False,False,0.0,
MNIST,B3_full_downstream,777,1.0,32,32,64,0.022899083974410078,0.025188992371851085,0.02331759332150829,0.022911530163823343,True,728.8375904560089,0.0,728.8375904560089,SUCCESS,False,False,True,0.0,
MNIST,B3_full_downstream,2024,1.0,48,48,64,0.023515710947464925,0.025867282042211417,0.0225036508988361,0.022127951070564946,True,646.0209631919861,0.0,646.0209631919861,SUCCESS,False,False,True,0.0,
MNIST,B3_full_downstream,31337,1.0,48,48,64,0.024017999765824295,0.026419799742406724,0.023566033188177613,0.023118886519451532,True,718.808004617691,0.0,718.808004617691,SUCCESS,False,False,True,0.0,
MNIST,B4_coarse,42,1.0,10,10,64,0.023851687684351083,0.02623685645278619,0.02227104529555963,0.021972516533468857,True,193.43292236328125,0.0,193.43292236328125,SUCCESS,False,False,True,0.0,
MNIST,B4_coarse,123,1.0,10,10,64,0.02427723039899554,0.02670495343889509,0.022213239397321432,0.021771542296117663,True,164.06798148155212,0.0,164.06798148155212,SUCCESS,False,False,True,0.0,
MNIST,B4_coarse,777,1.0,10,10,64,0.022899083974410078,0.025188992371851085,0.02265717736069037,0.02221377521956048,True,184.76379323005676,0.0,184.76379323005676,SUCCESS,False,False,True,0.0,
MNIST,B4_coarse,2024,1.0,10,10,64,0.023515710947464925,0.025867282042211417,0.020839620784837372,0.02026402583738574,True,199.19554543495178,0.0,199.19554543495178,SUCCESS,False,False,True,0.0,
MNIST,B4_coarse,31337,1.0,10,10,64,0.024017999765824295,0.026419799742406724,0.020997278330277425,0.020562927661298892,True,209.3287148475647,0.0,209.3287148475647,SUCCESS,False,False,True,0.0,
MNIST,B5_fixed32,42,1.0,32,32,64,0.023851687684351083,0.02623685645278619,0.02336780407963967,0.022936931584157102,True,68.3561692237854,66.05860233306885,134.41477155685425,SUCCESS,False,False,True,0.0,
MNIST,B5_fixed32,123,1.0,32,32,64,0.02427723039899554,0.02670495343889509,0.023557929214166135,0.023139312744140626,True,53.129618883132935,45.33538007736206,98.464998960495,SUCCESS,False,False,True,0.0,
MNIST,B5_fixed32,777,1.0,32,32,64,0.022899083974410078,0.025188992371851085,0.02331759332150829,0.022911530163823343,True,52.999956369400024,66.14485359191895,119.14480996131897,SUCCESS,False,False,True,0.0,
MNIST,B5_fixed32,2024,1.0,32,32,64,0.023515710947464925,0.025867282042211417,0.02360118258729273,0.023130655094068874,True,46.923726320266724,62.86958146095276,109.79330778121948,SUCCESS,False,False,True,0.0,
MNIST,B5_fixed32,31337,1.0,32,32,64,0.024017999765824295,0.026419799742406724,0.023295148577008932,0.02281989148198342,True,56.77252721786499,72.526198387146,129.298725605011,SUCCESS,False,False,True,0.0,
MNIST,B6a_fondue,42,1.0,7,7,64,0.023851687684351083,0.02623685645278619,0.02138538158183195,0.02094980169802296,True,39.049826860427856,66.05860233306885,105.1084291934967,SUCCESS,False,False,True,4.144804000854492,
MNIST,B6a_fondue,123,1.0,7,7,64,0.02427723039899554,0.02670495343889509,0.022344547193877552,0.02197312916865965,True,45.14638566970825,45.33538007736206,90.48176574707031,SUCCESS,False,False,True,4.144804000854492,
MNIST,B6a_fondue,777,1.0,7,7,64,0.022899083974410078,0.025188992371851085,0.02084966885313696,0.02047895366642751,True,40.448813915252686,66.14485359191895,106.59366750717163,SUCCESS,False,False,True,4.144804000854492,
MNIST,B6a_fondue,2024,1.0,7,7,64,0.023515710947464925,0.025867282042211417,0.022511799715003188,0.022029934007294326,True,42.67811846733093,62.86958146095276,105.54769992828369,SUCCESS,False,False,True,4.144804000854492,
MNIST,B6a_fondue,31337,1.0,7,7,64,0.024017999765824295,0.026419799742406724,0.022550596587511955,0.022251461314506272,True,39.298835039138794,72.526198387146,111.82503342628479,SUCCESS,False,False,True,4.144804000854492,
MNIST,B6b_fondue_var,42,1.0,25,25,64,0.023851687684351083,0.02623685645278619,0.02283254693478954,0.022341927664620533,True,76.87359118461609,66.05860233306885,142.93219351768494,SUCCESS,False,False,True,4.144804000854492,
MNIST,B6b_fondue_var,123,1.0,6,6,64,0.02427723039899554,0.02670495343889509,0.022411734444754465,0.02202388550635098,True,36.68694519996643,45.33538007736206,82.02232527732849,SUCCESS,False,False,True,4.144804000854492,
MNIST,B6b_fondue_var,777,1.0,5,5,64,0.022899083974410078,0.025188992371851085,0.02462919025031888,0.02410103103741497,True,56.8343231678009,66.14485359191895,122.97917675971985,SUCCESS,False,False,True,4.144804000854492,
MNIST,B6b_fondue_var,2024,1.0,6,6,64,0.023515710947464925,0.025867282042211417,0.022447507897201853,0.02193109836708121,True,43.00226426124573,62.86958146095276,105.87184572219849,SUCCESS,False,False,True,4.144804000854492,
MNIST,B6b_fondue_var,31337,1.0,7,7,64,0.024017999765824295,0.026419799742406724,0.022550596587511955,0.022251461314506272,True,38.28154110908508,72.526198387146,110.80773949623108,SUCCESS,False,False,True,4.144804000854492,
MNIST,B6b_fondue_var_keepmixed_false,42,1.0,0,,64,0.023851687684351083,0.02623685645278619,,,False,0.3766665458679199,66.05860233306885,66.43526887893677,DEGENERATE_SELECTION,False,False,False,4.144804000854492,
MNIST,B6b_fondue_var_keepmixed_false,123,1.0,0,,64,0.02427723039899554,0.02670495343889509,,,False,0.31678152084350586,45.33538007736206,45.652161598205566,DEGENERATE_SELECTION,False,False,False,4.144804000854492,
MNIST,B6b_fondue_var_keepmixed_false,777,1.0,0,,64,0.022899083974410078,0.025188992371851085,,,False,0.3029923439025879,66.14485359191895,66.44784593582153,DEGENERATE_SELECTION,False,False,False,4.144804000854492,
MNIST,B6b_fondue_var_keepmixed_false,2024,1.0,0,,64,0.023515710947464925,0.025867282042211417,,,False,0.34503936767578125,62.86958146095276,63.21462082862854,DEGENERATE_SELECTION,False,False,False,4.144804000854492,
MNIST,B6b_fondue_var_keepmixed_false,31337,1.0,0,,64,0.024017999765824295,0.026419799742406724,,,False,0.3676280975341797,72.526198387146,72.89382648468018,DEGENERATE_SELECTION,False,False,False,4.144804000854492,
MNIST,proposed,42,1.0,6,6,64,0.023851687684351083,0.02623685645278619,0.022674509165238364,0.022301241504902744,True,690.6300055980682,0.0,690.6300055980682,SUCCESS,False,False,True,0.0,
