dataset,seed,beta,policy,c,R,A,id_accepted,fallback,selected_m,full_grid_min,excess_width,excess_grid_steps,exact,quality_met,T_D,requested_count,requested_widths,canonical_keys,candidate_seconds,reference_seconds,cold_seconds,amortized25_seconds,soft_budget_exceeded,val_mse,test_mse,nonmonotone_Q
MNIST,2024,0.25,Legacy window,2,0.15,0.25,True,False,10,10,0,0,True,True,0.017417521885463173,10,64;2;4;6;8;10;12;16;20;24,vae|MNIST|m64|s2024|e300|es1|b0.25;vae|MNIST|m2|s2024|e300|es1|b0.25;vae|MNIST|m4|s2024|e300|es1|b0.25;vae|MNIST|m6|s2024|e300|es1|b0.25;vae|MNIST|m8|s2024|e300|es1|b0.25;vae|MNIST|m10|s2024|e300|es1|b0.25;vae|MNIST|m12|s2024|e300|es1|b0.25;vae|MNIST|m16|s2024|e300|es1|b0.25;vae|MNIST|m20|s2024|e300|es1|b0.25;vae|MNIST|m24|s2024|e300|es1|b0.25,336.66829562187195,207.46426463127136,544.1325602531433,344.9668662071228,False,0.0161770408786073,0.015644388627032844,False
MNIST,2024,0.25,ID local,2,0.15,0.25,True,False,10,10,0,0,True,True,0.017417521885463173,7,64;24;20;16;12;10;8,vae|MNIST|m64|s2024|e300|es1|b0.25;vae|MNIST|m24|s2024|e300|es1|b0.25;vae|MNIST|m20|s2024|e300|es1|b0.25;vae|MNIST|m16|s2024|e300|es1|b0.25;vae|MNIST|m12|s2024|e300|es1|b0.25;vae|MNIST|m10|s2024|e300|es1|b0.25;vae|MNIST|m8|s2024|e300|es1|b0.25,247.89679265022278,207.46426463127136,455.36105728149414,256.1953632354736,False,0.0161770408786073,0.015644388627032844,False
MNIST,2024,0.25,Midpoint local,2,0.15,0.25,,False,10,10,0,0,True,True,0.017417521885463173,4,64;12;10;8,vae|MNIST|m64|s2024|e300|es1|b0.25;vae|MNIST|m12|s2024|e300|es1|b0.25;vae|MNIST|m10|s2024|e300|es1|b0.25;vae|MNIST|m8|s2024|e300|es1|b0.25,121.3696608543396,0.0,121.3696608543396,121.3696608543396,False,0.0161770408786073,0.015644388627032844,False
MNIST,2024,0.25,ID certified,2,0.15,0.25,True,False,10,10,0,0,True,True,0.017417521885463173,10,64;24;20;16;12;10;8;2;4;6,vae|MNIST|m64|s2024|e300|es1|b0.25;vae|MNIST|m24|s2024|e300|es1|b0.25;vae|MNIST|m20|s2024|e300|es1|b0.25;vae|MNIST|m16|s2024|e300|es1|b0.25;vae|MNIST|m12|s2024|e300|es1|b0.25;vae|MNIST|m10|s2024|e300|es1|b0.25;vae|MNIST|m8|s2024|e300|es1|b0.25;vae|MNIST|m2|s2024|e300|es1|b0.25;vae|MNIST|m4|s2024|e300|es1|b0.25;vae|MNIST|m6|s2024|e300|es1|b0.25,336.66829562187195,207.46426463127136,544.1325602531433,344.9668662071228,False,0.0161770408786073,0.015644388627032844,False
MNIST,31337,0.25,Full grid Q,2,0.15,0.25,,False,8,8,0,0,True,True,0.01816102923957669,12,64;2;4;6;8;10;12;16;20;24;32;48,vae|MNIST|m64|s31337|e300|es1|b0.25;vae|MNIST|m2|s31337|e300|es1|b0.25;vae|MNIST|m4|s31337|e300|es1|b0.25;vae|MNIST|m6|s31337|e300|es1|b0.25;vae|MNIST|m8|s31337|e300|es1|b0.25;vae|MNIST|m10|s31337|e300|es1|b0.25;vae|MNIST|m12|s31337|e300|es1|b0.25;vae|MNIST|m16|s31337|e300|es1|b0.25;vae|MNIST|m20|s31337|e300|es1|b0.25;vae|MNIST|m24|s31337|e300|es1|b0.25;vae|MNIST|m32|s31337|e300|es1|b0.25;vae|MNIST|m48|s31337|e300|es1|b0.25,403.01655316352844,0.0,403.01655316352844,403.01655316352844,False,0.018138039102359695,0.01770495709270036,False
MNIST,31337,0.25,Ascending Q,2,0.15,0.25,,False,8,8,0,0,True,True,0.01816102923957669,5,64;2;4;6;8,vae|MNIST|m64|s31337|e300|es1|b0.25;vae|MNIST|m2|s31337|e300|es1|b0.25;vae|MNIST|m4|s31337|e300|es1|b0.25;vae|MNIST|m6|s31337|e300|es1|b0.25;vae|MNIST|m8|s31337|e300|es1|b0.25,158.88611721992493,0.0,158.88611721992493,158.88611721992493,False,0.018138039102359695,0.01770495709270036,False
MNIST,31337,0.25,Legacy window,2,0.15,0.25,True,False,8,8,0,0,True,True,0.01816102923957669,10,64;2;4;6;8;10;12;16;20;24,vae|MNIST|m64|s31337|e300|es1|b0.25;vae|MNIST|m2|s31337|e300|es1|b0.25;vae|MNIST|m4|s31337|e300|es1|b0.25;vae|MNIST|m6|s31337|e300|es1|b0.25;vae|MNIST|m8|s31337|e300|es1|b0.25;vae|MNIST|m10|s31337|e300|es1|b0.25;vae|MNIST|m12|s31337|e300|es1|b0.25;vae|MNIST|m16|s31337|e300|es1|b0.25;vae|MNIST|m20|s31337|e300|es1|b0.25;vae|MNIST|m24|s31337|e300|es1|b0.25,351.20683550834656,207.46426463127136,558.6711001396179,359.5054060935974,False,0.018138039102359695,0.01770495709270036,False
MNIST,31337,0.25,ID local,2,0.15,0.25,True,False,8,8,0,0,True,True,0.01816102923957669,8,64;24;20;16;12;10;8;6,vae|MNIST|m64|s31337|e300|es1|b0.25;vae|MNIST|m24|s31337|e300|es1|b0.25;vae|MNIST|m20|s31337|e300|es1|b0.25;vae|MNIST|m16|s31337|e300|es1|b0.25;vae|MNIST|m12|s31337|e300|es1|b0.25;vae|MNIST|m10|s31337|e300|es1|b0.25;vae|MNIST|m8|s31337|e300|es1|b0.25;vae|MNIST|m6|s31337|e300|es1|b0.25,294.2884316444397,207.46426463127136,501.75269627571106,302.58700222969054,False,0.018138039102359695,0.01770495709270036,False
MNIST,31337,0.25,Midpoint local,2,0.15,0.25,,False,8,8,0,0,True,True,0.01816102923957669,5,64;12;10;8;6,vae|MNIST|m64|s31337|e300|es1|b0.25;vae|MNIST|m12|s31337|e300|es1|b0.25;vae|MNIST|m10|s31337|e300|es1|b0.25;vae|MNIST|m8|s31337|e300|es1|b0.25;vae|MNIST|m6|s31337|e300|es1|b0.25,191.83794617652893,0.0,191.83794617652893,191.83794617652893,False,0.018138039102359695,0.01770495709270036,False
MNIST,31337,0.25,ID certified,2,0.15,0.25,True,False,8,8,0,0,True,True,0.01816102923957669,10,64;24;20;16;12;10;8;6;2;4,vae|MNIST|m64|s31337|e300|es1|b0.25;vae|MNIST|m24|s31337|e300|es1|b0.25;vae|MNIST|m20|s31337|e300|es1|b0.25;vae|MNIST|m16|s31337|e300|es1|b0.25;vae|MNIST|m12|s31337|e300|es1|b0.25;vae|MNIST|m10|s31337|e300|es1|b0.25;vae|MNIST|m8|s31337|e300|es1|b0.25;vae|MNIST|m6|s31337|e300|es1|b0.25;vae|MNIST|m2|s31337|e300|es1|b0.25;vae|MNIST|m4|s31337|e300|es1|b0.25,351.20683550834656,207.46426463127136,558.6711001396179,359.5054060935974,False,0.018138039102359695,0.01770495709270036,False
MNIST,42,0.5,Full grid Q,2,0.15,0.25,,False,8,8,0,0,True,True,0.020183449507732782,12,64;2;4;6;8;10;12;16;20;24;32;48,vae|MNIST|m64|s42|e300|es1|b0.5;vae|MNIST|m2|s42|e300|es1|b0.5;vae|MNIST|m4|s42|e300|es1|b0.5;vae|MNIST|m6|s42|e300|es1|b0.5;vae|MNIST|m8|s42|e300|es1|b0.5;vae|MNIST|m10|s42|e300|es1|b0.5;vae|MNIST|m12|s42|e300|es1|b0.5;vae|MNIST|m16|s42|e300|es1|b0.5;vae|MNIST|m20|s42|e300|es1|b0.5;vae|MNIST|m24|s42|e300|es1|b0.5;vae|MNIST|m32|s42|e300|es1|b0.5;vae|MNIST|m48|s42|e300|es1|b0.5,490.16302251815796,0.0,490.16302251815796,490.16302251815796,False,0.01843824861487564,0.018001691960964076,True
MNIST,42,0.5,Ascending Q,2,0.15,0.25,,False,8,8,0,0,True,True,0.020183449507732782,5,64;2;4;6;8,vae|MNIST|m64|s42|e300|es1|b0.5;vae|MNIST|m2|s42|e300|es1|b0.5;vae|MNIST|m4|s42|e300|es1|b0.5;vae|MNIST|m6|s42|e300|es1|b0.5;vae|MNIST|m8|s42|e300|es1|b0.5,170.86878538131714,0.0,170.86878538131714,170.86878538131714,False,0.01843824861487564,0.018001691960964076,True
MNIST,42,0.5,Legacy window,2,0.15,0.25,True,False,8,8,0,0,True,True,0.020183449507732782,10,64;2;4;6;8;10;12;16;20;24,vae|MNIST|m64|s42|e300|es1|b0.5;vae|MNIST|m2|s42|e300|es1|b0.5;vae|MNIST|m4|s42|e300|es1|b0.5;vae|MNIST|m6|s42|e300|es1|b0.5;vae|MNIST|m8|s42|e300|es1|b0.5;vae|MNIST|m10|s42|e300|es1|b0.5;vae|MNIST|m12|s42|e300|es1|b0.5;vae|MNIST|m16|s42|e300|es1|b0.5;vae|MNIST|m20|s42|e300|es1|b0.5;vae|MNIST|m24|s42|e300|es1|b0.5,388.49511885643005,207.46426463127136,595.9593834877014,396.7936894416809,False,0.01843824861487564,0.018001691960964076,True
MNIST,42,0.5,ID local,2,0.15,0.25,True,False,8,8,0,0,True,True,0.020183449507732782,8,64;24;20;16;12;10;8;6,vae|MNIST|m64|s42|e300|es1|b0.5;vae|MNIST|m24|s42|e300|es1|b0.5;vae|MNIST|m20|s42|e300|es1|b0.5;vae|MNIST|m16|s42|e300|es1|b0.5;vae|MNIST|m12|s42|e300|es1|b0.5;vae|MNIST|m10|s42|e300|es1|b0.5;vae|MNIST|m8|s42|e300|es1|b0.5;vae|MNIST|m6|s42|e300|es1|b0.5,339.2128231525421,207.46426463127136,546.6770877838135,347.51139373779296,False,0.01843824861487564,0.018001691960964076,True
MNIST,42,0.5,Midpoint local,2,0.15,0.25,,False,8,8,0,0,True,True,0.020183449507732782,5,64;12;10;8;6,vae|MNIST|m64|s42|e300|es1|b0.5;vae|MNIST|m12|s42|e300|es1|b0.5;vae|MNIST|m10|s42|e300|es1|b0.5;vae|MNIST|m8|s42|e300|es1|b0.5;vae|MNIST|m6|s42|e300|es1|b0.5,207.76948499679565,0.0,207.76948499679565,207.76948499679565,False,0.01843824861487564,0.018001691960964076,True
MNIST,42,0.5,ID certified,2,0.15,0.25,True,False,8,8,0,0,True,True,0.020183449507732782,10,64;24;20;16;12;10;8;6;2;4,vae|MNIST|m64|s42|e300|es1|b0.5;vae|MNIST|m24|s42|e300|es1|b0.5;vae|MNIST|m20|s42|e300|es1|b0.5;vae|MNIST|m16|s42|e300|es1|b0.5;vae|MNIST|m12|s42|e300|es1|b0.5;vae|MNIST|m10|s42|e300|es1|b0.5;vae|MNIST|m8|s42|e300|es1|b0.5;vae|MNIST|m6|s42|e300|es1|b0.5;vae|MNIST|m2|s42|e300|es1|b0.5;vae|MNIST|m4|s42|e300|es1|b0.5,388.49511885643005,207.46426463127136,595.9593834877014,396.7936894416809,False,0.01843824861487564,0.018001691960964076,True
MNIST,123,0.5,Full grid Q,2,0.15,0.25,,False,8,8,0,0,True,True,0.02161059947111169,12,64;2;4;6;8;10;12;16;20;24;32;48,vae|MNIST|m64|s123|e300|es1|b0.5;vae|MNIST|m2|s123|e300|es1|b0.5;vae|MNIST|m4|s123|e300|es1|b0.5;vae|MNIST|m6|s123|e300|es1|b0.5;vae|MNIST|m8|s123|e300|es1|b0.5;vae|MNIST|m10|s123|e300|es1|b0.5;vae|MNIST|m12|s123|e300|es1|b0.5;vae|MNIST|m16|s123|e300|es1|b0.5;vae|MNIST|m20|s123|e300|es1|b0.5;vae|MNIST|m24|s123|e300|es1|b0.5;vae|MNIST|m32|s123|e300|es1|b0.5;vae|MNIST|m48|s123|e300|es1|b0.5,425.836138010025,0.0,425.836138010025,425.836138010025,False,0.01885369468221859,0.018454716273716518,False
MNIST,123,0.5,Ascending Q,2,0.15,0.25,,False,8,8,0,0,True,True,0.02161059947111169,5,64;2;4;6;8,vae|MNIST|m64|s123|e300|es1|b0.5;vae|MNIST|m2|s123|e300|es1|b0.5;vae|MNIST|m4|s123|e300|es1|b0.5;vae|MNIST|m6|s123|e300|es1|b0.5;vae|MNIST|m8|s123|e300|es1|b0.5,167.5571346282959,0.0,167.5571346282959,167.5571346282959,False,0.01885369468221859,0.018454716273716518,False
MNIST,123,0.5,Legacy window,2,0.15,0.25,True,False,8,8,0,0,True,True,0.02161059947111169,10,64;2;4;6;8;10;12;16;20;24,vae|MNIST|m64|s123|e300|es1|b0.5;vae|MNIST|m2|s123|e300|es1|b0.5;vae|MNIST|m4|s123|e300|es1|b0.5;vae|MNIST|m6|s123|e300|es1|b0.5;vae|MNIST|m8|s123|e300|es1|b0.5;vae|MNIST|m10|s123|e300|es1|b0.5;vae|MNIST|m12|s123|e300|es1|b0.5;vae|MNIST|m16|s123|e300|es1|b0.5;vae|MNIST|m20|s123|e300|es1|b0.5;vae|MNIST|m24|s123|e300|es1|b0.5,349.68627762794495,207.46426463127136,557.1505422592163,357.9848482131958,False,0.01885369468221859,0.018454716273716518,False
MNIST,123,0.5,ID local,2,0.15,0.25,True,False,8,8,0,0,True,True,0.02161059947111169,8,64;24;20;16;12;10;8;6,vae|MNIST|m64|s123|e300|es1|b0.5;vae|MNIST|m24|s123|e300|es1|b0.5;vae|MNIST|m20|s123|e300|es1|b0.5;vae|MNIST|m16|s123|e300|es1|b0.5;vae|MNIST|m12|s123|e300|es1|b0.5;vae|MNIST|m10|s123|e300|es1|b0.5;vae|MNIST|m8|s123|e300|es1|b0.5;vae|MNIST|m6|s123|e300|es1|b0.5,284.22961831092834,207.46426463127136,491.6938829421997,292.5281888961792,False,0.01885369468221859,0.018454716273716518,False
