
=== MNIST  beta 文脈=0.25  尤度=gaussian  初期容量=64 ===
  B7_geco_l0   s=31337  m=   64 (格子上 64) val_MSE=0.00096   598.6s SUCCESS
  B8_ard_vae   s=31337  m=    9 (格子上 8) val_MSE=0.00178   592.1s SUCCESS

=== dSprites  beta 文脈=0.5  尤度=bernoulli  初期容量=64 ===
  B7_geco_l0   s=42     m=   64 (格子上 64) val_MSE=0.00102   586.3s SUCCESS
  B8_ard_vae   s=42     m=    9 (格子上 8) val_MSE=0.00190   443.8s SUCCESS
  B7_geco_l0   s=123    m=   64 (格子上 64) val_MSE=0.00102   609.4s SUCCESS
  B8_ard_vae   s=123    m=   10 (格子上 10) val_MSE=0.00134   468.1s SUCCESS
  B7_geco_l0   s=777    m=   64 (格子上 64) val_MSE=0.00105   579.5s SUCCESS
  B8_ard_vae   s=777    m=    7 (格子上 6) val_MSE=0.00294   478.9s SUCCESS
  B7_geco_l0   s=2024   m=   64 (格子上 64) val_MSE=0.00109   595.0s SUCCESS
  B8_ard_vae   s=2024   m=   11 (格子上 10) val_MSE=0.00157   450.5s SUCCESS
  B7_geco_l0   s=31337  m=   64 (格子上 64) val_MSE=0.00102   563.4s SUCCESS
  B8_ard_vae   s=31337  m=    9 (格子上 8) val_MSE=0.00173   452.6s SUCCESS

=== dSprites  beta 文脈=2.0  尤度=bernoulli  初期容量=64 ===
  B7_geco_l0   s=42     m=   64 (格子上 64) val_MSE=0.00144   685.0s SUCCESS
  B8_ard_vae   s=42     m=    9 (格子上 8) val_MSE=0.00200   565.4s SUCCESS
  B7_geco_l0   s=123    m=   64 (格子上 64) val_MSE=0.00150   648.8s SUCCESS
  B8_ard_vae   s=123    m=   10 (格子上 10) val_MSE=0.00163   524.2s SUCCESS
  B7_geco_l0   s=777    m=   64 (格子上 64) val_MSE=0.00147   625.3s SUCCESS
  B8_ard_vae   s=777    m=    7 (格子上 6) val_MSE=0.00281   534.7s SUCCESS
  B7_geco_l0   s=2024   m=   64 (格子上 64) val_MSE=0.00146   684.9s SUCCESS
  B8_ard_vae   s=2024   m=   11 (格子上 10) val_MSE=0.00164   603.6s SUCCESS
  B7_geco_l0   s=31337  m=   64 (格子上 64) val_MSE=0.00140   684.1s SUCCESS
  B8_ard_vae   s=31337  m=    9 (格子上 8) val_MSE=0.00181   610.8s SUCCESS

=== dSprites  beta 文脈=4.0  尤度=bernoulli  初期容量=64 ===
  B7_geco_l0   s=42     m=   64 (格子上 64) val_MSE=0.00207   684.4s SUCCESS
  B8_ard_vae   s=42     m=    9 (格子上 8) val_MSE=0.00251   619.2s SUCCESS
  B7_geco_l0   s=123    m=   64 (格子上 64) val_MSE=0.00215   684.5s SUCCESS
  B8_ard_vae   s=123    m=   10 (格子上 10) val_MSE=0.00217   619.7s SUCCESS
  B7_geco_l0   s=777    m=   64 (格子上 64) val_MSE=0.00209   685.3s SUCCESS
  B8_ard_vae   s=777    m=    7 (格子上 6) val_MSE=0.00290   619.9s SUCCESS
  B7_geco_l0   s=2024   m=   64 (格子上 64) val_MSE=0.00220   685.0s SUCCESS
  B8_ard_vae   s=2024   m=   11 (格子上 10) val_MSE=0.00223   620.1s SUCCESS
  B7_geco_l0   s=31337  m=   64 (格子上 64) val_MSE=0.00221   683.9s SUCCESS
  B8_ard_vae   s=31337  m=    9 (格子上 8) val_MSE=0.00205   619.5s SUCCESS

=== CIFAR10  beta 文脈=0.25  尤度=gaussian  初期容量=256 ===
  B7_geco_l0   s=42     m=   35 (格子上 32) val_MSE=0.01195   226.9s SUCCESS
  B8_ard_vae   s=42     m=   14 (格子上 16) val_MSE=0.01662   177.5s SUCCESS
  B7_geco_l0   s=123    m=   45 (格子上 48) val_MSE=0.00997   242.0s SUCCESS
  B8_ard_vae   s=123    m=   14 (格子上 16) val_MSE=0.01656   172.3s SUCCESS
  B7_geco_l0   s=777    m=   42 (格子上 48) val_MSE=0.00986   253.4s SUCCESS
  B8_ard_vae   s=777    m=   15 (格子上 16) val_MSE=0.01657   173.5s SUCCESS
  B7_geco_l0   s=2024   m=   49 (格子上 48) val_MSE=0.01066   217.0s SUCCESS
  B8_ard_vae   s=2024   m=   14 (格子上 16) val_MSE=0.01653   174.1s SUCCESS
  B7_geco_l0   s=31337  m=   42 (格子上 48) val_MSE=0.01013   219.1s SUCCESS
  B8_ard_vae   s=31337  m=   14 (格子上 16) val_MSE=0.01662   171.6s SUCCESS

=== CIFAR10  beta 文脈=0.5  尤度=gaussian  初期容量=256 ===
  B7_geco_l0   s=42     m=   31 (格子上 32) val_MSE=0.01243   224.7s SUCCESS
  B8_ard_vae   s=42     m=   14 (格子上 16) val_MSE=0.01670   177.6s SUCCESS
  B7_geco_l0   s=123    m=   30 (格子上 32) val_MSE=0.01275   219.6s SUCCESS
  B8_ard_vae   s=123    m=   14 (格子上 16) val_MSE=0.01675   171.8s SUCCESS
  B7_geco_l0   s=777    m=   30 (格子上 32) val_MSE=0.01275   220.0s SUCCESS
  B8_ard_vae   s=777    m=   15 (格子上 16) val_MSE=0.01673   170.4s SUCCESS
  B7_geco_l0   s=2024   m=   31 (格子上 32) val_MSE=0.01242   231.2s SUCCESS
  B8_ard_vae   s=2024   m=   14 (格子上 16) val_MSE=0.01673   168.9s SUCCESS
  B7_geco_l0   s=31337  m=   32 (格子上 32) val_MSE=0.01247   236.0s SUCCESS
  B8_ard_vae   s=31337  m=   14 (格子上 16) val_MSE=0.01684   169.6s SUCCESS

=== CIFAR10  beta 文脈=2.0  尤度=gaussian  初期容量=256 ===
  B7_geco_l0   s=42     m=   13 (格子上 16) val_MSE=0.01824   237.9s SUCCESS
  B8_ard_vae   s=42     m=   14 (格子上 16) val_MSE=0.01824   189.3s SUCCESS
  B7_geco_l0   s=123    m=   14 (格子上 16) val_MSE=0.01837   232.0s SUCCESS
  B8_ard_vae   s=123    m=   14 (格子上 16) val_MSE=0.01837   181.6s SUCCESS
  B7_geco_l0   s=777    m=   13 (格子上 16) val_MSE=0.01845   221.1s SUCCESS
  B8_ard_vae   s=777    m=   15 (格子上 16) val_MSE=0.01845   171.5s SUCCESS
  B7_geco_l0   s=2024   m=   14 (格子上 16) val_MSE=0.01830   234.5s SUCCESS
  B8_ard_vae   s=2024   m=   14 (格子上 16) val_MSE=0.01830   184.6s SUCCESS
  B7_geco_l0   s=31337  m=   13 (格子上 16) val_MSE=0.01826   230.9s SUCCESS
  B8_ard_vae   s=31337  m=   14 (格子上 16) val_MSE=0.01826   180.6s SUCCESS

=== CIFAR10  beta 文脈=4.0  尤度=gaussian  初期容量=256 ===
